,place_id,name,formatted_address,rating,user_ratings_total,types,geometry
0,ChIJDb8fwXhDwokROiYKcxPXi14,"NY Center for Autism Treatment, LLC","1669 E 12th St Suite 2A, Brooklyn, NY 11229, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.6084434, 'lng': -73.9608363}"
0,ChIJUS5Wz-xYwokRhBzR-8ZFmGE,Spectrum Neuroscience and Treatment Institute,"901 5th Ave, New York, NY 10021, USA",0,0,"['doctor', 'health', 'point_of_interest', 'establishment']","{'lat': 40.771878, 'lng': -73.9670735}"
0,ChIJE15l-KZZwokRkOGf1RyIxTc,Achieve Beyond Pediatric Therapy & Autism Services,"7000 Austin St #200, Forest Hills, NY 11375, USA",3.1,20,"['physiotherapist', 'health', 'point_of_interest', 'school', 'establishment']","{'lat': 40.7212871, 'lng': -73.8481202}"
0,ChIJid6rkEhawokRK6yOEofu10U,Brooklyn Autism Center,"57 Willoughby St, Brooklyn, NY 11201, USA",5,1,"['point_of_interest', 'school', 'establishment']","{'lat': 40.6925071, 'lng': -73.9864748}"
0,ChIJg2kiIctOwokRB6uCf1dPCHQ,A Friendly Face,"460 Midland Ave, Staten Island, NY 10306, USA",5,5,"['health', 'point_of_interest', 'establishment']","{'lat': 40.5743356, 'lng': -74.09729829999999}"
0,ChIJLxeLx2FnwokROkB_weI19Fg,New York Families for Autistic Children Inc,"95-16 Pitkin Ave, Ozone Park, NY 11417, USA",5,1,"['point_of_interest', 'establishment']","{'lat': 40.6723399, 'lng': -73.8405178}"
0,ChIJ711YGJ1YwokRWGuxSHam7Ng,The Manhattan Childrens Center,"101 W 92nd St, New York, NY 10025, USA",0,0,"['point_of_interest', 'establishment']","{'lat': 40.7907067, 'lng': -73.9696515}"
0,ChIJgwNVdgZZwokRedi42KlWJ9Y,Center for Autism & Related Disorders,"204 E 35th St, New York, NY 10016, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.7460635, 'lng': -73.9773029}"
0,ChIJlVcGXr30wokRrUiB3fLEPoE,Center for Autism & Related Disorders,"3653, 727 Morris Park Ave, Bronx, NY 10462, United States",3,2,"['health', 'point_of_interest', 'establishment']","{'lat': 40.845657, 'lng': -73.865076}"
0,ChIJ2zrCcGyKwokRbz_LT_Oq6Ww,Center For Autism & Related Disorders,"214-10 24th Ave, Flushing, NY 11360, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.77931299999999, 'lng': -73.775115}"
0,ChIJOW-6Jh9jwokRsooMmea8Xd8,Center For Autism & Related Disorders,"1069 Hempstead Turnpike #1, Franklin Square, NY 11010, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.7075752, 'lng': -73.6798021}"
0,ChIJXw81fZ1YwokRBdJCurMMCCw,Manhattan Childrens Center,"124 W 95th St, New York, NY 10025, USA",4.6,5,"['point_of_interest', 'school', 'establishment']","{'lat': 40.7924166, 'lng': -73.9691575}"
0,ChIJzfn8IlPHwoARphjv28efnJQ,Children's Hospital Los Angeles : Autism Services,"1300 N Vermont Ave, Los Angeles, CA 90027, USA",5,7,"['hospital', 'point_of_interest', 'establishment']","{'lat': 34.0975863, 'lng': -118.2906686}"
0,ChIJ2eeM_zK6woARJjcgyFqKmY8,Center for Autism Spectrum Treatment (CAST),"5800 Hannum Ave Suite B, Culver City, CA 90230, USA",3.5,2,"['health', 'point_of_interest', 'establishment']","{'lat': 33.986852, 'lng': -118.385788}"
0,ChIJUWsYLJO4woAR2SlcH7433f4,Center For Autism & Related Disorders,"4322 Wilshire Blvd #104, Los Angeles, CA 90010, USA",1,1,"['health', 'point_of_interest', 'establishment']","{'lat': 34.061472, 'lng': -118.322491}"
0,ChIJyQRwWoK7woARa3awi3bkUgI,"FACT - Family, Adult and Child Therapies","1401 Westwood Blvd Suite 200, Los Angeles, CA 90024, USA",5,1,"['health', 'point_of_interest', 'school', 'establishment']","{'lat': 34.05511, 'lng': -118.442199}"
0,ChIJO2iNgACbwoARLMNdOfE43mo,Center For Autism & Related Disorders,"9335 Reseda Blvd Suite 101, Northridge, CA 91324, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.2401575, 'lng': -118.5364331}"
0,ChIJMb1DqROZwoARhVypQQidN60,Center for Autism & Related Disorders,"21600 W Oxnard St suite 1800, Woodland Hills, CA 91367, USA",5,1,"['health', 'point_of_interest', 'establishment']","{'lat': 34.1784754, 'lng': -118.6003142}"
0,ChIJQYtKGgzHwoAReiuKJsHAZYc,Holding Hands Pediatric Therapy & Adult Services,"2115 Beverly Blvd, Los Angeles, CA 90057, USA",3.4,5,"['health', 'point_of_interest', 'establishment']","{'lat': 34.067192, 'lng': -118.270762}"
0,ChIJVfNvDj-5woARFnCG2xqcl4k,Hidden Treasures ABA Therapy Services,"6310 San Vicente Blvd, Los Angeles, CA 90048, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.06052260000001, 'lng': -118.3676925}"
0,ChIJa0TXxTi5woARAU_eMlg9Qm0,"Intercare Therapy, Inc.","4221 Wilshire Blvd #300, Los Angeles, CA 90010, USA",3.7,7,"['health', 'point_of_interest', 'establishment']","{'lat': 34.062029, 'lng': -118.320842}"
0,ChIJPyEplWq6woARpHObW6PWhH0,Autism Clinic Software,"4127 Berryman Ave, Los Angeles, CA 90066, USA",0,0,"['point_of_interest', 'establishment']","{'lat': 34.002636, 'lng': -118.417935}"
0,ChIJPxkrdhK7woARvOSDKGG2Mn0,Center For Autism & Related Disorders,"11835 W Olympic Blvd #140e, Los Angeles, CA 90064, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.0330802, 'lng': -118.4513701}"
0,ChIJK9zqtYS7woARuu2ccQAL4l8,FACT Family,"10642 CA-2 #202, Los Angeles, CA 90024, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.0525476, 'lng': -118.4305615}"
0,ChIJsyTiXzWawoARFee_9jmSLaQ,Drake Institute of Behavioral Medicine,"18250 Roscoe Blvd #325, Northridge, CA 91325, USA",1,1,"['health', 'point_of_interest', 'establishment']","{'lat': 34.2205898, 'lng': -118.5313075}"
0,ChIJU3B8HwC8woARubiT9gDeJvk,The Dubin Clinic,"11500 W Olympic Blvd #400, Los Angeles, CA 90064, USA",5,8,"['health', 'point_of_interest', 'establishment']","{'lat': 34.0357765, 'lng': -118.444129}"
0,ChIJ6UalaZy7woARiYqul6iPR3U,Feeding Clinic of Los Angeles,"2 Westwood Blvd 1917 1 Suite 1, Los Angeles, CA 90025, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.047352, 'lng': -118.435154}"
0,ChIJ-8pQ-9ybwoARdXL6E80yRME,Beautiful Minds Center For Autism,"19725 Sherman Way #380, Winnetka, CA 91306, USA",5,2,"['health', 'point_of_interest', 'establishment']","{'lat': 34.201484, 'lng': -118.563042}"
0,ChIJ1-ixGq67woARfxYXCg-M44Y,Center For the Developing Mind,"3996, 2990 S Sepulveda Blvd # 308, Los Angeles, CA 90064, United States",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.0276968, 'lng': -118.428548}"
