,place_id,formatted_phone_number,website,opening_hours,name,adr_address
0,ChIJDb8fwXhDwokROiYKcxPXi14,(718) 484-9219,http://www.nycenterforautismtreatment.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 7:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","NY Center for Autism Treatment, LLC","<span class=""street-address"">1669 E 12th St Suite 2A</span>, <span class=""locality"">Brooklyn</span>, <span class=""region"">NY</span> <span class=""postal-code"">11229-1011</span>, <span class=""country-name"">USA</span>"
0,ChIJUS5Wz-xYwokRhBzR-8ZFmGE,(646) 351-0220,http://www.spectrumneuroscience.org/,,Spectrum Neuroscience and Treatment Institute,"<span class=""street-address"">901 5th Ave</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10021</span>, <span class=""country-name"">USA</span>"
0,ChIJE15l-KZZwokRkOGf1RyIxTc,(718) 762-7633,http://www.achievebeyondusa.com,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1730'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1730'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1730'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1730'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1730'}, 'open': {'day': 5, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:30 PM', 'Tuesday: 9:00 AM – 5:30 PM', 'Wednesday: 9:00 AM – 5:30 PM', 'Thursday: 9:00 AM – 5:30 PM', 'Friday: 9:00 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']}",Achieve Beyond Pediatric Therapy & Autism Services,"<span class=""street-address"">7000 Austin St #200</span>, <span class=""locality"">Forest Hills</span>, <span class=""region"">NY</span> <span class=""postal-code"">11375</span>, <span class=""country-name"">USA</span>"
0,ChIJid6rkEhawokRK6yOEofu10U,(718) 554-1027,http://www.brooklynautismcenter.org/,,Brooklyn Autism Center,"<span class=""street-address"">57 Willoughby St</span>, <span class=""locality"">Brooklyn</span>, <span class=""region"">NY</span> <span class=""postal-code"">11201-5290</span>, <span class=""country-name"">USA</span>"
0,ChIJg2kiIctOwokRB6uCf1dPCHQ,(718) 667-7770,http://www.affautism.com/,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1400'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 7:00 PM', 'Tuesday: 9:00 AM – 7:00 PM', 'Wednesday: 9:00 AM – 7:00 PM', 'Thursday: 9:00 AM – 7:00 PM', 'Friday: 9:00 AM – 7:00 PM', 'Saturday: 9:00 AM – 2:00 PM', 'Sunday: 9:00 AM – 2:00 PM']}",A Friendly Face,"<span class=""street-address"">460 Midland Ave</span>, <span class=""locality"">Staten Island</span>, <span class=""region"">NY</span> <span class=""postal-code"">10306</span>, <span class=""country-name"">USA</span>"
0,ChIJLxeLx2FnwokROkB_weI19Fg,(718) 641-3441,http://www.nyfac.org/,,New York Families for Autistic Children Inc,"<span class=""street-address"">95-16 Pitkin Ave</span>, <span class=""locality"">Ozone Park</span>, <span class=""region"">NY</span> <span class=""postal-code"">11417</span>, <span class=""country-name"">USA</span>"
0,ChIJ711YGJ1YwokRWGuxSHam7Ng,,https://www.manhattanchildrenscenter.org/,,The Manhattan Childrens Center,"<span class=""street-address"">101 W 92nd St</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10025-7633</span>, <span class=""country-name"">USA</span>"
0,ChIJgwNVdgZZwokRedi42KlWJ9Y,(646) 964-5913,http://www.centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center for Autism & Related Disorders,"<span class=""street-address"">204 E 35th St</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10016</span>, <span class=""country-name"">USA</span>"
0,ChIJlVcGXr30wokRrUiB3fLEPoE,(631) 519-0761,http://www.centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center for Autism & Related Disorders,"3653, <span class=""street-address"">727 Morris Park Ave</span>, <span class=""locality"">Bronx</span>, <span class=""region"">NY</span> <span class=""postal-code"">10462</span>, <span class=""country-name"">USA</span>"
0,ChIJ2zrCcGyKwokRbz_LT_Oq6Ww,(914) 833-1303,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}",Center For Autism & Related Disorders,"<span class=""street-address"">214-10 24th Ave</span>, <span class=""locality"">Flushing</span>, <span class=""region"">NY</span> <span class=""postal-code"">11360</span>, <span class=""country-name"">USA</span>"
