place_id,name,formatted_address,rating,user_ratings_total,types,geometry,formatted_phone_number,website,opening_hours,adr_address
ChIJDb8fwXhDwokROiYKcxPXi14,"NY Center for Autism Treatment, LLC","1669 E 12th St Suite 2A, Brooklyn, NY 11229, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.6084434, 'lng': -73.9608363}",(718) 484-9219,http://www.nycenterforautismtreatment.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 7:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">1669 E 12th St Suite 2A</span>, <span class=""locality"">Brooklyn</span>, <span class=""region"">NY</span> <span class=""postal-code"">11229-1011</span>, <span class=""country-name"">USA</span>"
ChIJUS5Wz-xYwokRhBzR-8ZFmGE,Spectrum Neuroscience and Treatment Institute,"901 5th Ave, New York, NY 10021, USA",0,0,"['doctor', 'health', 'point_of_interest', 'establishment']","{'lat': 40.771878, 'lng': -73.9670735}",(646) 351-0220,http://www.spectrumneuroscience.org/,,"<span class=""street-address"">901 5th Ave</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10021</span>, <span class=""country-name"">USA</span>"
ChIJE15l-KZZwokRkOGf1RyIxTc,Achieve Beyond Pediatric Therapy & Autism Services,"7000 Austin St #200, Forest Hills, NY 11375, USA",3.1,20,"['physiotherapist', 'health', 'point_of_interest', 'school', 'establishment']","{'lat': 40.7212871, 'lng': -73.8481202}",(718) 762-7633,http://www.achievebeyondusa.com,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1730'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1730'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1730'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1730'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1730'}, 'open': {'day': 5, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:30 PM', 'Tuesday: 9:00 AM – 5:30 PM', 'Wednesday: 9:00 AM – 5:30 PM', 'Thursday: 9:00 AM – 5:30 PM', 'Friday: 9:00 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">7000 Austin St #200</span>, <span class=""locality"">Forest Hills</span>, <span class=""region"">NY</span> <span class=""postal-code"">11375</span>, <span class=""country-name"">USA</span>"
ChIJid6rkEhawokRK6yOEofu10U,Brooklyn Autism Center,"57 Willoughby St, Brooklyn, NY 11201, USA",5,1,"['point_of_interest', 'school', 'establishment']","{'lat': 40.6925071, 'lng': -73.9864748}",(718) 554-1027,http://www.brooklynautismcenter.org/,,"<span class=""street-address"">57 Willoughby St</span>, <span class=""locality"">Brooklyn</span>, <span class=""region"">NY</span> <span class=""postal-code"">11201-5290</span>, <span class=""country-name"">USA</span>"
ChIJg2kiIctOwokRB6uCf1dPCHQ,A Friendly Face,"460 Midland Ave, Staten Island, NY 10306, USA",5,5,"['health', 'point_of_interest', 'establishment']","{'lat': 40.5743356, 'lng': -74.09729829999999}",(718) 667-7770,http://www.affautism.com/,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1400'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 7:00 PM', 'Tuesday: 9:00 AM – 7:00 PM', 'Wednesday: 9:00 AM – 7:00 PM', 'Thursday: 9:00 AM – 7:00 PM', 'Friday: 9:00 AM – 7:00 PM', 'Saturday: 9:00 AM – 2:00 PM', 'Sunday: 9:00 AM – 2:00 PM']}","<span class=""street-address"">460 Midland Ave</span>, <span class=""locality"">Staten Island</span>, <span class=""region"">NY</span> <span class=""postal-code"">10306</span>, <span class=""country-name"">USA</span>"
ChIJLxeLx2FnwokROkB_weI19Fg,New York Families for Autistic Children Inc,"95-16 Pitkin Ave, Ozone Park, NY 11417, USA",5,1,"['point_of_interest', 'establishment']","{'lat': 40.6723399, 'lng': -73.8405178}",(718) 641-3441,http://www.nyfac.org/,,"<span class=""street-address"">95-16 Pitkin Ave</span>, <span class=""locality"">Ozone Park</span>, <span class=""region"">NY</span> <span class=""postal-code"">11417</span>, <span class=""country-name"">USA</span>"
ChIJ711YGJ1YwokRWGuxSHam7Ng,The Manhattan Childrens Center,"101 W 92nd St, New York, NY 10025, USA",0,0,"['point_of_interest', 'establishment']","{'lat': 40.7907067, 'lng': -73.9696515}",,https://www.manhattanchildrenscenter.org/,,"<span class=""street-address"">101 W 92nd St</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10025-7633</span>, <span class=""country-name"">USA</span>"
ChIJgwNVdgZZwokRedi42KlWJ9Y,Center for Autism & Related Disorders,"204 E 35th St, New York, NY 10016, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.7460635, 'lng': -73.9773029}",(646) 964-5913,http://www.centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">204 E 35th St</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10016</span>, <span class=""country-name"">USA</span>"
ChIJlVcGXr30wokRrUiB3fLEPoE,Center for Autism & Related Disorders,"3653, 727 Morris Park Ave, Bronx, NY 10462, United States",3,2,"['health', 'point_of_interest', 'establishment']","{'lat': 40.845657, 'lng': -73.865076}",(631) 519-0761,http://www.centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","3653, <span class=""street-address"">727 Morris Park Ave</span>, <span class=""locality"">Bronx</span>, <span class=""region"">NY</span> <span class=""postal-code"">10462</span>, <span class=""country-name"">USA</span>"
ChIJ2zrCcGyKwokRbz_LT_Oq6Ww,Center For Autism & Related Disorders,"214-10 24th Ave, Flushing, NY 11360, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.77931299999999, 'lng': -73.775115}",(914) 833-1303,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">214-10 24th Ave</span>, <span class=""locality"">Flushing</span>, <span class=""region"">NY</span> <span class=""postal-code"">11360</span>, <span class=""country-name"">USA</span>"
ChIJOW-6Jh9jwokRsooMmea8Xd8,Center For Autism & Related Disorders,"1069 Hempstead Turnpike #1, Franklin Square, NY 11010, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 40.7075752, 'lng': -73.6798021}",(914) 833-1303,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">1069 Hempstead Turnpike #1</span>, <span class=""locality"">Franklin Square</span>, <span class=""region"">NY</span> <span class=""postal-code"">11010</span>, <span class=""country-name"">USA</span>"
ChIJXw81fZ1YwokRBdJCurMMCCw,Manhattan Childrens Center,"124 W 95th St, New York, NY 10025, USA",4.6,5,"['point_of_interest', 'school', 'establishment']","{'lat': 40.7924166, 'lng': -73.9691575}",(212) 749-4604,https://www.manhattanchildrenscenter.org/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0830'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0830'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0830'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '0830'}}], 'weekday_text': ['Monday: 8:30 AM – 4:30 PM', 'Tuesday: 8:30 AM – 4:30 PM', 'Wednesday: 8:30 AM – 4:30 PM', 'Thursday: 8:30 AM – 4:30 PM', 'Friday: 8:30 AM – 3:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">124 W 95th St</span>, <span class=""locality"">New York</span>, <span class=""region"">NY</span> <span class=""postal-code"">10025-6604</span>, <span class=""country-name"">USA</span>"
ChIJzfn8IlPHwoARphjv28efnJQ,Children's Hospital Los Angeles : Autism Services,"1300 N Vermont Ave, Los Angeles, CA 90027, USA",5,7,"['hospital', 'point_of_interest', 'establishment']","{'lat': 34.0975863, 'lng': -118.2906686}",(323) 361-6102,https://www.chla.org/boone-fetter-clinic,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 4:00 PM', 'Tuesday: 8:00 AM – 4:00 PM', 'Wednesday: 8:00 AM – 4:00 PM', 'Thursday: 8:00 AM – 4:00 PM', 'Friday: 8:00 AM – 4:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">1300 N Vermont Ave</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90027</span>, <span class=""country-name"">USA</span>"
ChIJ2eeM_zK6woARJjcgyFqKmY8,Center for Autism Spectrum Treatment (CAST),"5800 Hannum Ave Suite B, Culver City, CA 90230, USA",3.5,2,"['health', 'point_of_interest', 'establishment']","{'lat': 33.986852, 'lng': -118.385788}",(310) 839-9088,http://castautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 6:00 PM', 'Tuesday: 8:00 AM – 6:00 PM', 'Wednesday: 8:00 AM – 6:00 PM', 'Thursday: 8:00 AM – 6:00 PM', 'Friday: 8:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">5800 Hannum Ave Suite B</span>, <span class=""locality"">Culver City</span>, <span class=""region"">CA</span> <span class=""postal-code"">90230</span>, <span class=""country-name"">USA</span>"
ChIJUWsYLJO4woAR2SlcH7433f4,Center For Autism & Related Disorders,"4322 Wilshire Blvd #104, Los Angeles, CA 90010, USA",1,1,"['health', 'point_of_interest', 'establishment']","{'lat': 34.061472, 'lng': -118.322491}",(323) 879-4951,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">4322 Wilshire Blvd #104</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90010</span>, <span class=""country-name"">USA</span>"
ChIJyQRwWoK7woARa3awi3bkUgI,"FACT - Family, Adult and Child Therapies","1401 Westwood Blvd Suite 200, Los Angeles, CA 90024, USA",5,1,"['health', 'point_of_interest', 'school', 'establishment']","{'lat': 34.05511, 'lng': -118.442199}",(310) 475-9620,http://www.factfamily.org/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0830'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0830'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0830'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0830'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0830'}}], 'weekday_text': ['Monday: 8:30 AM – 5:00 PM', 'Tuesday: 8:30 AM – 5:00 PM', 'Wednesday: 8:30 AM – 5:00 PM', 'Thursday: 8:30 AM – 5:00 PM', 'Friday: 8:30 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">1401 Westwood Blvd Suite 200</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90024</span>, <span class=""country-name"">USA</span>"
ChIJO2iNgACbwoARLMNdOfE43mo,Center For Autism & Related Disorders,"9335 Reseda Blvd Suite 101, Northridge, CA 91324, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.2401575, 'lng': -118.5364331}",(818) 960-0630,http://centerforautism.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0800'}}], 'weekday_text': ['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">9335 Reseda Blvd Suite 101</span>, <span class=""locality"">Northridge</span>, <span class=""region"">CA</span> <span class=""postal-code"">91324</span>, <span class=""country-name"">USA</span>"
ChIJMb1DqROZwoARhVypQQidN60,Center for Autism & Related Disorders,"21600 W Oxnard St suite 1800, Woodland Hills, CA 91367, USA",5,1,"['health', 'point_of_interest', 'establishment']","{'lat': 34.1784754, 'lng': -118.6003142}",(818) 345-2345,http://www.centerforautism.com/,,"<span class=""street-address"">21600 W Oxnard St suite 1800</span>, <span class=""locality"">Woodland Hills</span>, <span class=""region"">CA</span> <span class=""postal-code"">91367</span>, <span class=""country-name"">USA</span>"
ChIJQYtKGgzHwoAReiuKJsHAZYc,Holding Hands Pediatric Therapy & Adult Services,"2115 Beverly Blvd, Los Angeles, CA 90057, USA",3.4,5,"['health', 'point_of_interest', 'establishment']","{'lat': 34.067192, 'lng': -118.270762}",(323) 938-3434,http://holdinghandsinc.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1730'}, 'open': {'day': 6, 'time': '0830'}}], 'weekday_text': ['Monday: 9:00 AM – 7:30 PM', 'Tuesday: 9:00 AM – 7:30 PM', 'Wednesday: 9:00 AM – 7:30 PM', 'Thursday: 9:00 AM – 7:30 PM', 'Friday: 9:00 AM – 7:30 PM', 'Saturday: 8:30 AM – 5:30 PM', 'Sunday: Closed']}","<span class=""street-address"">2115 Beverly Blvd</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90057-2203</span>, <span class=""country-name"">USA</span>"
ChIJVfNvDj-5woARFnCG2xqcl4k,Hidden Treasures ABA Therapy Services,"6310 San Vicente Blvd, Los Angeles, CA 90048, USA",0,0,"['health', 'point_of_interest', 'establishment']","{'lat': 34.06052260000001, 'lng': -118.3676925}",(323) 693-1600,https://htaba.com/,"{'open_now': False, 'periods': [{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}], 'weekday_text': ['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']}","<span class=""street-address"">6310 San Vicente Blvd</span>, <span class=""locality"">Los Angeles</span>, <span class=""region"">CA</span> <span class=""postal-code"">90048</span>, <span class=""country-name"">USA</span>"
